"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","class","order","continentOcean","typeStatus"
"46","2020-02-19 14:09:50-03","MBML","MBML-HERBARIO","50740",NA,"Plantae",NA,"Melastomataceae","Clidemia",NA,"Clidemia",NA,NA,"J. Freitas; A.M. Assis","165","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Arbusto ca. 3m. Frutos verdes.","MBML050740","MBML050740",NA,NA,NA,NA,NA,NA,NA
"47","2017-09-14 11:45:57-03","MBML","MBML-HERBARIO","46163",NA,"Plantae",NA,"Guttiferae","Clusia","criuva","Clusia criuva",NA,"A. P. Fontana/27-07-2009","A. P. Fontana; L. M. Neto","6049","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto, ca. 1,5m. Rupícola no sol. Látex branco. Frutos verdes-amarronzados","MBML046163","MBML046163",NA,NA,NA,NA,NA,NA,NA
"48","2017-09-14 11:44:13-03","MBML","MBML-HERBARIO","50735",NA,"Plantae",NA,"Compositae",NA,NA,NA,NA,NA,"J. Freitas; A.M. Assis","161","2012","08","19","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Arbusto, beira de estrada, botões esverdeados.","MBML050735","MBML050735",NA,NA,NA,NA,NA,NA,NA
"49","2017-09-14 11:44:13-03","MBML","MBML-HERBARIO","50749",NA,"Plantae",NA,"Compositae",NA,NA,NA,NA,NA,"J. Freitas; A.M. Assis","161","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Arbusto, beira de estrada, botões esverdeados.","MBML050749","MBML050749",NA,NA,NA,NA,NA,NA,NA
"50","2017-09-14 11:45:14-03","MBML","MBML-HERBARIO","46184",NA,"Plantae",NA,"Euphorbiaceae","Croton",NA,"Croton",NA,NA,"A. P. Fontana; L. M. Neto","6046","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto, ca. 1,5m. Terrestre meia-sombra. Folhas discolores (abaxial branca com pontos. Tricomas ferrugíneos. Flores brancas","MBML046184","MBML046184",NA,NA,NA,NA,NA,NA,NA
"51","2017-09-14 11:43:23-03","MBML","MBML-HERBARIO","46181",NA,"Plantae",NA,"Bromeliaceae","Dyckia",NA,"Dyckia",NA,NA,"A. P. Fontana; L. M. Neto","6037","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Rupícola no sol. Folhas verdes. Inflorescência simples ereta. Flores laranjas com indumento do branco ao ferrugíneo","MBML046181","MBML046181",NA,NA,NA,NA,NA,NA,NA
"52","2017-09-14 11:49:18-03","MBML","MBML-HERBARIO","46169",NA,"Plantae",NA,"Orchidaceae","Epidendrum","secundum","Epidendrum secundum",NA,"A. P. Fontana/27-07-2009","A. P. Fontana; L. M. Neto","6047","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Rupícola no sol. Flores lilás com labelo lilás branco e amarelo. Frutos amarronzados","MBML046169",NA,NA,NA,NA,NA,NA,NA,NA
"53","2017-09-14 11:49:19-03","MBML","MBML-HERBARIO","46182",NA,"Plantae",NA,"Orchidaceae","Gomesa","ramosa","Gomesa ramosa",NA,"T.E.C. Meneguzzo/2017","A. P. Fontana; L. M. Neto","6036","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Rupícola no sol. Pétalas e sépalas amarelas com máculas marrom. Labelo amarelo com calosidade com máculas marrom e verso do lóbulo mediano com máculas marrons","MBML046182",NA,NA,NA,NA,NA,NA,NA,NA
"54","2017-09-14 11:47:19-03","MBML","MBML-HERBARIO","46167",NA,"Plantae",NA,"Malpighiaceae","Heteropterys",NA,"Heteropterys",NA,NA,"A. P. Fontana; L. M. Neto","6053","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto ca. 1,8m. Rupícola no sol. Folhas discolores (abaxial ferrugíneo), frutos marrons com alas avermelhadas.","MBML046167","MBML046167_1 MBML046167_2",NA,NA,NA,NA,NA,NA,NA
"55","2017-09-14 11:42:55-03","MBML","MBML-HERBARIO","46165",NA,"Plantae",NA,"Bignoniaceae","Jacaranda",NA,"Jacaranda",NA,NA,"A. P. Fontana; L. M. Neto","6051","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto, ca. 3m. Rupícola no sol. Folhas arroxeadas. Flores lilás frutos verdes","MBML046165","MBML046165_1 MBML046165_2",NA,NA,NA,NA,NA,NA,NA
"56","2017-09-14 11:46:14-03","MBML","MBML-HERBARIO","50739",NA,"Plantae",NA,"Lauraceae",NA,NA,NA,NA,NA,"J. Freitas; A.M. Assis","163","2012","08","19","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Árvore ca. 14 m. Frutos verdes.","MBML050739","MBML050739",NA,NA,NA,NA,NA,NA,NA
"57","2020-02-19 14:09:54-03","MBML","MBML-HERBARIO","50741",NA,"Plantae",NA,"Melastomataceae","Leandra","reversa","Leandra reversa",NA,"J.F.A. Baumgratz/16-V-2017","J. Freitas; A.M. Assis","166","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Arbusto ca. 3m alt. Botões jovens branco-avermelhados.","MBML050741","MBML050741",NA,NA,NA,NA,NA,NA,NA
"58","2017-09-14 11:46:33-03","MBML","MBML-HERBARIO","50737",NA,"Plantae",NA,"Leguminosae",NA,NA,NA,NA,NA,"J. Freitas; A.M. Assis","176","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Árvore ca. 15m alt. Botões verdes.","MBML050737","MBML050737",NA,NA,NA,NA,NA,NA,NA
"59","2017-09-14 11:46:33-03","MBML","MBML-HERBARIO","50763",NA,"Plantae",NA,"Leguminosae",NA,NA,NA,NA,NA,"J. Freitas; A.M. Assis","175","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Árvore ca. 17m alt. Frutos (vagem) esverdeada. Inflorescencias em formação, verdes.","MBML050763","MBML050763",NA,NA,NA,NA,NA,NA,NA
"60","2019-08-05 14:35:54-03","MBML","MBML-HERBARIO","50746",NA,"Plantae",NA,"Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera",NA,"J. Külkamp/16-07-2019","J. Freitas; A.M. Assis","173","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Arbusto 5m. Frutos amarronzados. Latescente.","MBML050746","MBML050746",NA,NA,NA,NA,NA,NA,NA
"61","2017-09-14 11:47:17-03","MBML","MBML-HERBARIO","50738",NA,"Plantae",NA,"Malpighiaceae",NA,NA,NA,NA,NA,"J. Freitas; A.M. Assis","177","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Arbusto ca. 2m. Flores amarelas.","MBML050738",NA,NA,NA,NA,NA,NA,NA,NA
"62","2017-09-14 11:41:50-03","MBML","MBML-HERBARIO","46186",NA,"Plantae",NA,"Apocynaceae","Mandevilla","lucida","Mandevilla lucida",NA,"A. P. Fontana/27-07-2009","A. P. Fontana; L. M. Neto","6044","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto, ca. 1,2m. Rupícola no sol. Folhas brolhosas. Látex branco. Corola branca-rosada. Cálice vermelho. Frutos verdes-avermelhados","MBML046186","MBML046186_1 MBML046186_2",NA,NA,NA,NA,NA,NA,NA
"63","2020-02-19 14:09:56-03","MBML","MBML-HERBARIO","46189",NA,"Plantae",NA,"Melastomataceae","Marcetia","taxifolia","Marcetia taxifolia",NA,"A. P. Fontana/27-07-2009","A. P. Fontana; L. M. Neto","6041","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto. Ca. 1m. Terrestre no sol. Flores brancas com estames amarelos e vermelhos","MBML046189","MBML046189",NA,NA,NA,NA,NA,NA,NA
"64","2020-02-19 14:10:05-03","MBML","MBML-HERBARIO","46180",NA,"Plantae",NA,"Melastomataceae","Microlicia",NA,"Microlicia",NA,NA,"A. P. Fontana; L. M. Neto","6038","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Terrestre no sol. Arbusto, ca. 1m. Flores lilás. Frtuos imaturos verdes","MBML046180","MBML046180",NA,NA,NA,NA,NA,NA,NA
"65","2017-09-14 11:48:43-03","MBML","MBML-HERBARIO","46162",NA,"Plantae",NA,"Myrtaceae","Myrcia","eriocalyx","Myrcia eriocalyx",NA,"B.S.Amorim/III-2014","A. P. Fontana; L. M. Neto","6048","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto, ca. 1,2m. Folhas discolores com face abaxial com tricomas ferrugíneos. Frutos verdes-amarelados à vináceos","MBML046162",NA,NA,NA,NA,NA,NA,NA,NA
"66","2017-09-14 11:43:32-03","MBML","MBML-HERBARIO","46176",NA,"Plantae",NA,"Bromeliaceae","Pitcairnia","glaziovii","Pitcairnia glaziovii",NA,"A. P. Fontana/27-07-2009","A. P. Fontana; L. M. Neto","6058","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Rupícola no sol. Inflorescência seca","MBML046176","MBML046176",NA,NA,NA,NA,NA,NA,NA
"67","2020-02-19 14:10:05-03","MBML","MBML-HERBARIO","46166",NA,"Plantae",NA,"Melastomataceae","Pleroma","subsessilis","Pleroma subsessilis",NA,NA,"A. P. Fontana; L. M. Neto","6052","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto, ca. 1m. Rupícola no sol. Flores lilás","MBML046166","MBML046166",NA,NA,NA,NA,NA,NA,"PARATIPO"
"68","2017-09-14 11:45:33-03","MBML","MBML-HERBARIO","38843",NA,"Plantae",NA,"Gentianaceae","Prepusa","dibotrya","Prepusa dibotrya",NA,"Fraga/12-05-2016","A. P. Fontana; L. Menini-Neto","6054","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio","-41.286111","-20.175556",NA,NA,"41W17'10","20S10'32","1310","1310","Herbácea, ca. 70cm. Terrestre no sol. Folhas verdes com ápice arroxeado e com glândula secretora. Inflorescência e pedicelos arroxeados. Corola amarelada e cálice amarronsado, estames marrons e estigma verde. Em cultivo CE/Vide Álcool","MBML038843","MBML038843_1 MBML038843_2",NA,NA,NA,NA,NA,NA,NA
"69","2020-02-19 14:10:20-03","MBML","MBML-HERBARIO","22001",NA,"Plantae",NA,"Orchidaceae","Pseudolaelia","brejetubensis","Pseudolaelia brejetubensis",NA,"C. N. Fraga/Dez.-2002","M. Frey; et al","30","2004","06","25","Brasil","Espírito Santo","Brejetuba","Monte Feio","-41.290278","-20.146111",NA,NA,"41W17'25","20S8'46",NA,NA,"Rupicola, flores rosas e brancas, variando de 1.100 a 1.400 m de altitude. Em cultivo no orquidário JBRJ - n°2858","MBML022001","MBML022001",NA,NA,NA,NA,NA,NA,"TIPO"
"70","2020-02-19 14:10:20-03","MBML","MBML-HERBARIO","22467",NA,"Plantae",NA,"Orchidaceae","Pseudolaelia","freyi","Pseudolaelia freyi",NA,NA,"M. Frey; et al","702","2004","06","28","Brasil","Espírito Santo","Brejetuba","Monte Feio","-41.290278","-20.146111",NA,NA,"41W17'25","20S8'46",NA,NA,"Folhas verdes e flores esbranquiçadas com extremidade do labelo roxa. Ocorre nas placas de litosolo, no cume do inselberg de altitude de aproximadamente 1200 metros, epífita nas Nanuzas e outras Velloziaceae.","MBML022467","MBML022467",NA,NA,NA,NA,NA,NA,"HOLOTIPO"
"71","2020-02-19 14:10:20-03","MBML","MBML-HERBARIO","22468",NA,"Plantae",NA,"Orchidaceae","Pseudolaelia","freyi","Pseudolaelia freyi",NA,NA,"M. Frey; et al","706","2004","06","28","Brasil","Espírito Santo","Brejetuba","Monte Feio","-41.290278","-20.146111",NA,NA,"41W17'25","20S8'46",NA,NA,"Folhas verdes e flores esbranquiçadas com extremidades do labelo roxa. Ocorre nas placas de litosolo, no cume do inselberg de altitude de aproximadamente 1200 metros, epífita nas Nanuzas e outras Velloziaceae.","MBML022468","MBML022468",NA,NA,NA,NA,NA,NA,"PARATIPO"
"72","2020-02-19 14:10:20-03","MBML","MBML-HERBARIO","22469",NA,"Plantae",NA,"Orchidaceae","Pseudolaelia","freyi","Pseudolaelia freyi",NA,NA,"M. Frey; et al","703","2004","06","28","Brasil","Espírito Santo","Brejetuba","Monte Feio","-41.290278","-20.146111",NA,NA,"41W17'25","20S8'46",NA,NA,"Folhas verdes e flores rosas com extremidade do labelo roxa, e difere de Pseudolaelia freyi Chiron & V.P. Castro que apresenta as flores brancas. Ocorre nas placas de litosolo, no cume do inselberg de altitude de aproximadamente 1200 m","MBML022469","MBML022469",NA,NA,NA,NA,NA,NA,"PARATIPO"
"73","2020-02-19 14:10:20-03","MBML","MBML-HERBARIO","22470",NA,"Plantae",NA,"Orchidaceae","Pseudolaelia","freyi","Pseudolaelia freyi",NA,NA,"M. Frey; et al","707","2004","06","28","Brasil","Espírito Santo","Brejetuba","Monte Feio","-41.290278","-20.146111",NA,NA,"41W17'25","20S8'46",NA,NA,"Folhas verdes e flores rosas com extremidade do labelo roxa, e difere de Pseudolaelia freyi Chiron & V.P. Castro que apresenta as flores brancas. Ocorre nas placas de litosolo, no cume do inselberg de altitude de aproximadamente 1200 m","MBML022470","MBML022470",NA,NA,NA,NA,NA,NA,"PARATIPO"
"74","2020-02-19 14:10:20-03","MBML","MBML-HERBARIO","24003",NA,"Plantae",NA,"Orchidaceae","Pseudolaelia","× perimii","Pseudolaelia × perimii",NA,NA,"M. Frey; et al","231","2002","05","01","Brasil","Espírito Santo","Brejetuba","Monte Feio","-41.290278","-20.146111",NA,NA,"41W17'25","20S8'46",NA,NA,"Folhas verdes ou arroxeadas e flores arroxeadas com centro do labelo branco. Ocorre nas placas de litosolo, no cume do inselberg de altitude de aproximadamente 1200 m.","MBML024003","MBML024003",NA,NA,NA,NA,NA,NA,"HOLOTIPO"
"75","2018-04-03 13:27:04-03","MBML","MBML-HERBARIO","50744",NA,"Plantae",NA,"Araceae","Rhodospatha","latifolia","Rhodospatha latifolia",NA,"R.T. Valadares/27-03-2018","J. Freitas; A.M. Assis","174","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Herbácea. Terrestre ou sobre pedra. Sem espata. Espádice verde.","MBML050744",NA,NA,NA,NA,NA,NA,NA,NA
"76","2017-09-14 11:51:50-03","MBML","MBML-HERBARIO","46179",NA,"Plantae",NA,"Solanaceae",NA,NA,NA,NA,NA,"A. P. Fontana; L. M. Neto","6039","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Erva rupícola no sol, ereta. Flores negras","MBML046179",NA,NA,NA,NA,NA,NA,NA,NA
"77","2017-09-14 11:51:50-03","MBML","MBML-HERBARIO","50743",NA,"Plantae",NA,"Solanaceae",NA,NA,NA,NA,NA,"J. Freitas; A.M. Assis","169","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Arbusto ca. 1,5 m. Flores brancas passadas","MBML050743",NA,NA,NA,NA,NA,NA,NA,NA
"78","2017-09-14 11:51:50-03","MBML","MBML-HERBARIO","50748",NA,"Plantae",NA,"Solanaceae",NA,NA,NA,NA,NA,"J. Freitas; A.M. Assis","168","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Arbusto ca. 2m. Flores com anteras amarelas. Pétalas liláses com listra branca no centro de cada pétala. Cálice verde. Botões verdes.","MBML050748",NA,NA,NA,NA,NA,NA,NA,NA
"79","2017-09-14 11:51:50-03","MBML","MBML-HERBARIO","50761",NA,"Plantae",NA,"Solanaceae",NA,NA,NA,NA,NA,"J. Freitas; A.M. Assis","172","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Arbusto ca. 2,5m com espinhos. Frutos verdes com indumento na superfície. Flores azuis com listra branca em cada pétala. Anteras brancas. Botões esverdeados.","MBML050761",NA,NA,NA,NA,NA,NA,NA,NA
"80","2018-06-13 14:43:40-03","MBML","MBML-HERBARIO","50742",NA,"Plantae",NA,"Malpighiaceae","Stigmaphyllon",NA,"Stigmaphyllon",NA,NA,"J. Freitas; A.M. Assis","171","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Trepadeira. Frutos verdes.","MBML050742",NA,NA,NA,NA,NA,NA,NA,NA
"81","2018-06-13 14:43:40-03","MBML","MBML-HERBARIO","50747",NA,"Plantae",NA,"Malpighiaceae","Stigmaphyllon",NA,"Stigmaphyllon",NA,NA,"J. Freitas; A.M. Assis","170","2012","08","20","Brasil","Espírito Santo","Brejetuba","Estrada entre Brejetuba e Afonso Cláudio, beira de estrada.","-41.248333","-20.0825",NA,NA,"41W14'54","20S4'57",NA,NA,"Trepadeira com gavinhas, folhas discolores, frutos alados.","MBML050747",NA,NA,NA,NA,NA,NA,NA,NA
"82","2018-01-30 15:45:43-02","MBML","MBML-HERBARIO","21533",NA,"Plantae",NA,"Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"A. J. M. Leeuwenberg/2001","G. Hatschbach; et al","71524","2000","10","22","Brasil","Espírito Santo","Brejetuba","Rancho Dantas","-41.290278","-20.146111",NA,NA,"41W17'25","20S8'46",NA,NA,"Árvore, 6m, látex alvo, flor creme. Floresta Atlântica.","MBML021533","MBML021533",NA,NA,NA,NA,NA,NA,NA
"83","2017-09-14 11:45:42-03","MBML","MBML-HERBARIO","46185",NA,"Plantae",NA,"Gesneriaceae","Vanhouttea","calcarata","Vanhouttea calcarata",NA,"A. P. Fontana/27-07-2009","A. P. Fontana; L. M. Neto","6045","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto, ca. 2m. Rupícola no sol. Cálice verde, corola vermelha-alaranjada","MBML046185","MBML046185_1 MBML046185_2",NA,NA,NA,NA,NA,NA,NA
"84","2017-09-14 11:52:10-03","MBML","MBML-HERBARIO","46183",NA,"Plantae",NA,"Velloziaceae","Vellozia","albiflora","Vellozia albiflora",NA,"L. Kollmann/03-XI-2016","A. P. Fontana; L. M. Neto","6035","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Rupícola no sol, ca. 50cm. Flores com pétalas brancas com ápice arroxeado","MBML046183",NA,NA,NA,NA,NA,NA,NA,NA
"85","2017-09-14 11:52:11-03","MBML","MBML-HERBARIO","46188",NA,"Plantae",NA,"Velloziaceae","Vellozia","variegata","Vellozia variegata",NA,"A. P. Fontana/27-07-2009","A. P. Fontana; L. M. Neto","6042","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto, ca. 50cm. Rupícola no sol. Flores lilás","MBML046188",NA,NA,NA,NA,NA,NA,NA,NA
"86","2017-09-14 11:44:29-03","MBML","MBML-HERBARIO","46187",NA,"Plantae",NA,"Compositae","Verbesina","glabrata","Verbesina glabrata",NA,"A.M. Teles/VIII-2015","A. P. Fontana; L. M. Neto","6043","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Arbusto, ca. 1,8m. Terrestre no sol. Invólucro verde. Corola amarela. Anteras negras","MBML046187","MBML046187",NA,NA,NA,NA,NA,NA,NA
"87","2017-09-14 11:43:40-03","MBML","MBML-HERBARIO","46177",NA,"Plantae",NA,"Bromeliaceae","Vriesea",NA,"Vriesea",NA,NA,"A. P. Fontana; L. M. Neto","6056","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio. Inselbergue","-41.286139","-20.175833",NA,NA,"41W17'10,1","20S10'33","1310","1310","Rupícola no sol","MBML046177","MBML046177_1 MBML046177_2",NA,NA,NA,NA,NA,NA,NA
"88","2017-09-14 11:25:01-03","MBML","MBML-HERBARIO","43025",NA,"Plantae",NA,"Orchidaceae","Specklinia","seriata","Specklinia seriata",NA,"G. Chiron","Orquidário Caliman","9042","2009",NA,NA,"Brasil","Espírito Santo","Brejetuba",NA,"-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,NA,NA,"1 hf","MBML043025",NA,NA,NA,NA,NA,NA,NA,NA
"89","2017-09-14 11:24:32-03","MBML","MBML-HERBARIO","47450",NA,"Plantae",NA,"Orchidaceae","Hoffmannseggella","kautskyana","Hoffmannseggella kautskyana",NA,NA,"Chiron","4630","2004","11","07","Brasil","Espírito Santo","Brejetuba","Monte Feio","-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,NA,NA,NA,"MBML047450",NA,NA,NA,NA,NA,NA,NA,NA
"90","2019-11-13 11:24:49-03","USP","SPF","147148","PreservedSpecimen","Plantae",NA,"Malvaceae","Helicteres","ovata","Helicteres ovata","Lam.","Cristóbal, CL","Hatschbach, G","71522","2000","10","22","Brasil","Espírito Santo","Brejetuba",NA,"-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,NA,NA,NA,"SPF00147148",NA,"2001",NA,NA,NA,NA,NA,NA
"91","2019-11-13 11:21:08-03","USP","SPF","164543","PreservedSpecimen","Plantae",NA,"Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez","Werff, H van der","Hatschbach, G","71520","2000","10","22","Brasil","Espírito Santo","Brejetuba","Rancho Dantas.","-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,NA,NA,NA,"SPF00164543",NA,"2003",NA,NA,NA,NA,NA,NA
"92","2019-10-07 09:33:16-03","UEFS","HUEFS","64758","PreservedSpecimen","Plantae","Angiospermae","Malvaceae","Helicteres","ovata","Helicteres ovata","Lam.",NA,"Hatschbach, G.","71522","2000","10","22","Brasil","Espírito Santo","Brejetuba","Rancho Dantas.","-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,NA,NA,"Floresta atlântica degradada.","HUEFS0064758",NA,NA,NA,NA,"Rosanae","Malvales",NA,NA
"93","2019-10-07 09:13:47-03","UEFS","HUEFS","67687","PreservedSpecimen","Plantae","Angiospermae","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.",NA,"Hatschbach, G.","71524","2000","10","22","Brasil","Espírito Santo","Brejetuba","Rancho Dantas.","-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,NA,NA,"Floresta atlântica.","HUEFS0067687","HUEFS0067687",NA,NA,NA,"Asteranae","Gentianales",NA,NA
"94","2019-10-07 09:22:59-03","UEFS","HUEFS","82980","PreservedSpecimen","Plantae","Angiospermae","Lauraceae","Ocotea","beyrichii","Ocotea beyrichii","(Nees) Mez",NA,"Hatschbach, G.","71520","2000","10","22","Brasil","Espírito Santo","Brejetuba","Rancho Datas","-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,NA,NA,NA,"HUEFS0082980","HUEFS0082980",NA,NA,NA,"Magnolianae","Laurales",NA,NA
"95","2019-10-16 14:12:25-03","UEL","FUEL","34179","PreservedSpecimen","Plantae","Tracheophyta","Apocynaceae","Tabernaemontana",NA,"Tabernaemontana",NA,"Bordon, NG","Hatschbach, G; et al.","71524","2000","10","22","Brasil","Espírito Santo","Brejetuba","Rancho Dantas","-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,NA,NA,"Arvore 6m; flor creme; latex alvo; Floresta Atlantica.",NA,NA,"2009","05","13",NA,"Gentianales",NA,NA
"96","2016-09-19 16:08:28-03","UnB","UB","157385","S","Plantae","Dicotyledoneae","Malvaceae","Helicteres","ovata","Helicteres ovata","Lam.","Cristóbal, CL","Hatschbach, G; Hatschbach, M; Silva, JM","71522","2000","10","22","Brasil","Espírito Santo","Brejetuba","Rancho Dantas.","-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,NA,NA,"Arbusto, 3,50m, flor vermelha.; Floresta atlântica degradada.",NA,NA,"2001",NA,NA,NA,NA,"Southern America",NA
"97","2019-11-21 10:12:55-03","IBt","SP","487851","S","Plantae",NA,"Orchidaceae","Bulbophyllum","freyi","Bulbophyllum freyi","V.P.Castro & Spechmaier","Castro, VP","Frey, M","VPCastro138","2009","02",NA,"Brasil","Espírito Santo","Brejetuba",NA,"-41.2902984619141","-20.1460990905762","23265","auto",NA,NA,"100","1200",NA,"SP003515","SP003515",NA,NA,NA,NA,NA,NA,"Holotype"
