"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","typeStatus","minimumElevationInMeters","maximumElevationInMeters","relationshipType","relatedCatalogItem"
"89","2019-10-02 14:55:01-03","UFMG","BHCB","22308","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lacistemataceae","Lacistema","Lacistema pubescens","Mart.","Costa, LV; Atalla, NC","s.n.","1992","09","28","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"pubescens",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"90","2019-10-02 14:57:15-03","UFMG","BHCB","22251","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","Miconia prasina","(Sw.) DC.","Costa, LV; Atalla, NC","s.n.","1992","10","01","Southern America","Brasil","Minas Gerais","Ipatinga","Cenibra","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Cenibra, Proj. Cenibra II","BHCB003085",NA,"prasina",NA,"2011","02","19070","auto","22",NA,NA,NA,NA,NA,NA
"91","2020-01-07 18:14:55-03","UFMG","BHCB","17649","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Thunbergia","Thunbergia alata","Bojer","Guerra, CP","3","1990","04","30","Southern America","Brasil","Minas Gerais","Ipatinga","Fazenda do Sr. Valquir do bairro Limoeiro.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Invasora.; Trepadeira.","BHCB053660","BHCB053660","alata",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"92","2020-02-18 22:20:31-03","UFMG","BHCB","56418","PreservedSpecimen","Plantae","Dicotyledon",NA,"Podostemaceae","Cipoia","Cipoia inserta","C.T.Philbrick, Novelo & Irgang","Philbrick, CT; et al.","s.n.","2001","07","13","Southern America","Brasil","Minas Gerais","Ipatinga","Rio Doce.","-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"inserta",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"93","2020-03-09 08:20:29-03","UFPR","UPCB","51171","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","Miconia serrulata","(DC.) Naudin","França, G.S.","413","2003","09","04",NA,"Brasil","Minas Gerais","Ipatinga","Ponte Perdida","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Arbusto 2,5m, frutos verdes, mata ciliar..","UPCB0020011","UPCB0020011","serrulata","Goldenberg, R.","2004","01","19070","auto","01",NA,NA,NA,NA,NA,NA
"94","2019-02-20 14:17:33-03","INPA","INPA","273901","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Eugenia","Eugenia grandissima","Sobral, Mazine & E.A.D.Melo","Sobral, M","15783","2016","02","17","Southern America","Brasil","Minas Gerais","Ipatinga","Ipatinga, Bairro Ipanemão.","-42.163889","-19.419722","-42.163889","-19.419722",NA,NA,"INPA0273901",NA,"grandissima",NA,NA,NA,NA,NA,NA,NA,NA,"596","596",NA,NA
"95","2018-04-26 14:54:07-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae",NA,NA,"Convolvulaceae","Ipomoea","Ipomoea cairica","(L.) Sweet","Ferreira, FM","1973",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Ipatinga","BR 381, entre Coronel Fabriciano e","-42.466667","-19.4","-42.466667","-19.4",NA,"Liana volúvel. Flres lilases.","CONV018490",NA,"cairica","Simão-Bianchini, R; Vasconcelos, LV","2012",NA,NA,NA,NA,NA,NA,NA,NA,"voucher","142397"
"96","2019-12-13 08:11:24-03","ICAUFMG","MCCA","584","S","Plantae",NA,NA,"Apiaceae","Foeniculum","Foeniculum vulgare","Mill.","ZAMBALDI, K.","s.n.","2007","09","30",NA,"Brasil","Minas Gerais","Ipatinga","Vale do Aço, Fazenda.","-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,"MCCA00591","MCCA00591","vulgare","ZAMBALDI, K.","2007","09","19070","auto","30",NA,NA,NA,NA,NA,NA
"97","2019-05-23 11:07:27-03","UFLA","ESAL","21992","S","Plantae",NA,NA,"Amaranthaceae","Gomphrena","Gomphrena globosa","L.","Ana Paula de Assis","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ipatinga","Viveiro Municipal","-42.5367012023926","-19.4682998657227",NA,NA,NA,"erva; ; ;",NA,NA,"globosa",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"98","2020-01-15 17:59:57-03","USP","SPF","232922","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","Piper",NA,"Kato, MJ","2293","2015","09","07",NA,"Brasil","Minas Gerais","Ipatinga","Parque Estadual do Rio Doce.","-42.621111","-19.771667","-42.621111","-19.771667",NA,"Arbusto, ca. 1,5 m alt. Folhas glabras, oblongas, verde claras. Frutos eretos, claros quando imaturos.; Mata Atlântica.","SPF00232922","SPF00232922",NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","300",NA,NA
"99","2020-01-15 17:59:57-03","USP","SPF","232920","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","Piper",NA,"Kato, MJ","2289","2015","09","07",NA,"Brasil","Minas Gerais","Ipatinga","Parque Estadual do Rio Doce.","-42.621111","-19.771667","-42.621111","-19.771667",NA,"Arbusto, ca. 1,5 m alt. Folhas pilosas. Frutos eretos, curtos, verde escuros.; Mata Atlântica.","SPF00232920","SPF00232920",NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","300",NA,NA
"100","2020-01-15 17:59:57-03","USP","SPF","232919","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","Piper arboreum","Aubl.","Kato, MJ","2288","2015","09","07",NA,"Brasil","Minas Gerais","Ipatinga","Parque Estadual do Rio Doce.","-42.626389","-19.771389","-42.626389","-19.771389",NA,"Arbusto, ca. 3 m alt., folhas com base assimétrica, bainha percorrendo toda extensão do pecíolo, pilosa na face adaxial, espigas eretas.; Mata Atlântica.","SPF00232919","SPF00232919","arboreum","Kato, MJ","2015","12",NA,NA,"20",NA,NA,"300","300",NA,NA
"101","2020-01-15 17:59:57-03","USP","SPF","232921","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","Piper arboreum","Aubl.","Kato, MJ","2292","2015","09","07",NA,"Brasil","Minas Gerais","Ipatinga","Parque Estadual do Rio Doce.","-42.621111","-19.771667","-42.621111","-19.771667",NA,"Arbusto, ca. 3 m alt., folhas com base assimétrica, bainha percorrendo toda extensão do pecíolo, pilosa na face adaxial, espigas eretas.; Mata Atlântica.","SPF00232921","SPF00232921","arboreum","Kato, MJ","2015","12",NA,NA,"20",NA,NA,"300","300",NA,NA
"102","2019-11-13 11:27:24-03","USP","SPF","162134","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Syzygium","Syzygium jambos","(L.) Alston","França, GS","409","2003","09","04",NA,"Brasil","Minas Gerais","Ipatinga",NA,"-42.521667","-19.554167","-42.521667","-19.554167",NA,NA,"SPF00162134",NA,"jambos","Sobral, M","2004",NA,NA,NA,NA,NA,NA,"140","140",NA,NA
"103","2019-11-13 11:22:25-03","USP","SPF","118255","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Inga","Inga flagelliformis","(Vell.) Mart.","Stehmann, JR","s.n.","1991","08","21",NA,"Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,"SPF00118255",NA,"flagelliformis","Borges, LM","2008",NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"104","2019-11-13 11:14:53-03","USP","SPF","193491","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Calotropis","Calotropis procera","(Aiton) W.T.Aiton","Marcondes-Ferreira, W","1283","1996","10","09",NA,"Brasil","Minas Gerais","Ipatinga","Cerca de 10 km adiante de Ipatinga, ruma a Governador Valadares.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Arbusto até 2 m; flores brancacentas, com manchas vináceas (cor de carne); com frutos jovens. Em biera da estrada frequente.","SPF00193491",NA,"procera","Farinaccio, MA","2009",NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"105","2019-10-07 09:15:20-03","UEFS","HUEFS","124375","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Bignoniaceae","Adenocalymma","Adenocalymma aurantiacum","Udulutsch & Assis","Silva-Castro, M.M.","1335","2007","08","28",NA,"Brasil","Minas Gerais","Ipatinga","758 logo após o estroncamento. Ipatinga-Novo Oriente, ca. 4 Km. Estrada Belo Oriente- MG, beira de estrada no barranco, perto da entrada do aterro industrial Cenibra.","-42.4","-19.266667","42W24'0''","19S16'0''",NA,NA,"HUEFS0124375","HUEFS0124375","aurantiacum","L.H.M.Fonseca","2014","10",NA,NA,NA,"Asteranae",NA,"804","804",NA,NA
"106","2019-10-07 09:13:07-03","UEFS","HUEFS","79283","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Allamanda","Allamanda",NA,"França, G.S.","412","2003","09","04",NA,"Brasil","Minas Gerais","Ipatinga","Ponte Perdida.","-42.521667","-19.554167","42W31'18''","19S33'15''",NA,NA,"HUEFS0079283","HUEFS0079283",NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA,NA,NA,NA,NA
"107","2019-10-07 09:29:58-03","UEFS","HUEFS","79365","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella",NA,"França, G.S.","410","2003","09","04",NA,"Brasil","Minas Gerais","Ipatinga","Ponte Perdida","-42.521667","-19.554167","42W31'18''","19S33'15''",NA,NA,"HUEFS0079365","HUEFS0079365 HUEFS0079365_e1",NA,"R.Asprino","2018","11",NA,NA,NA,"Rosanae",NA,"140","140",NA,NA
"108","2019-10-07 09:17:42-03","UEFS","HUEFS","142397","PreservedSpecimen","Plantae","Angiospermae","Solanales","Convolvulaceae","Ipomoea","Ipomoea cairica","(L.) Sweet","Ferreira, F.M.","1973","2008","09","06",NA,"Brasil","Minas Gerais","Ipatinga","BR 381, entre Coronel Fabriciano e Ipatinga, ramal secundário à direita da estrada no sentido para Ipatinga","-42.466667","-19.4","42W28'","19S24'0''",NA,"Mata Estacional Semidecídua","HUEFS0142397","HUEFS0142397","cairica","R.Simão-Bianchini & L.V.Vasconcelos","2012","06",NA,NA,NA,"Asteranae",NA,NA,NA,NA,NA
"109","2019-10-07 09:15:43-03","UEFS","HUEFS","124374","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Bignoniaceae","Manaosella","Manaosella cordifolia","(DC.) A.H.Gentry","Silva-Castro, M.M.","1334","2007","08","28",NA,"Brasil","Minas Gerais","Ipatinga","BR 381 - estrada para Governador Valadares, acima de Santana do Paraíso, antes de Bom Jesus do Agre antes da entrada de Cenibra aproximadamente 500 m.","-42.406667","-19.328889","42W24'24''","19S19'44''",NA,NA,"HUEFS0124374","HUEFS0124374","cordifolia","M.M.Silva-Castro","2012","08",NA,NA,NA,"Asteranae",NA,NA,NA,NA,NA
"110","2019-10-07 09:15:43-03","UEFS","HUEFS","124373","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Bignoniaceae","Mansoa","Mansoa glaziovii","Bureau & K.Schum.","Silva-Castro, M.M.","1333","2007","08","28",NA,"Brasil","Minas Gerais","Ipatinga","BR 381 - estrada para Governador Valadares, acima de Santana do Paraíso, antes de Bom Jesus do Agre antes da entrada de Cenibra aproximadamente 500 m.","-42.406667","-19.328889","42W24'24''","19S19'44''",NA,NA,"HUEFS0124373","HUEFS0124373","glaziovii",NA,"2008","03",NA,NA,NA,"Asteranae",NA,NA,NA,NA,NA
"111","2019-10-07 09:36:15-03","UEFS","HUEFS","79367","PreservedSpecimen","Plantae","Angiospermae","Oxalidales","Elaeocarpaceae","Sloanea","Sloanea guianensis","(Aubl.) Benth.","França, G.S.","411","2003","09","04",NA,"Brasil","Minas Gerais","Ipatinga","Ponte Perdida.","-42.521667","-19.554167","42W31'18''","19S33'15''",NA,NA,"HUEFS0079367","HUEFS0079367","guianensis","D.Sampaio","2009",NA,NA,NA,NA,"Rosanae",NA,"140","140",NA,NA
"112","2019-01-25 15:35:11-02","IAC","IAC","37934","S","Plantae",NA,NA,"Lacistemataceae","Lacistema","Lacistema pubescens","Mart.","L.V. Costa & N.C.Atalla","s/nº","1992","09","28",NA,"Brasil","Minas Gerais","Ipatinga","Cenibra, Projeto de aviação","-42.5367","-19.4683","-42.5367","-19.4683",NA,NA,NA,NA,"pubescens","R.B. Torres","1999","05",NA,NA,"06",NA,NA,NA,NA,NA,NA
"113","2019-12-09 15:03:43-03","IAC","IAC","56391","S","Plantae",NA,NA,"Myrtaceae-2.Myrtoideae","Eugenia","Eugenia grandissima","Sobral, Mazine & E.A.D.Melo","M.E.G. Sobral & E.A.D. Melo","15783","2016","02","17",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.163889","-19.419722","-42.163889","-19.419722",NA,"HOLOTYPUS - Phytotaxa 253(1): 63, f.4#?#7. 2016. Coordenadas originais: 42w09#?#50, 19s25#?#11.",NA,NA,"grandissima","M.E.G. Sobral","2016","03",NA,NA,"21",NA,"Holótipo",NA,NA,NA,NA
"114","2019-02-27 14:03:38-03","UFSJ","HUFSJ","8273","S","Plantae",NA,NA,"Salicaceae","Casearia","Casearia",NA,"Sobral, M; Melo, EAD","15779","2016","02","17",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.663944","-19.419667","-42.663944","-19.419667",NA,"Árvore ca. 10 m; flores creme.","HUFSJ008273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"596","596",NA,NA
"115","2019-12-09 10:46:02-03","UFSJ","HUFSJ","8272","S","Plantae",NA,NA,"Myrtaceae","Eugenia","Eugenia grandissima","Sobral, Mazine & E.A.D. Melo","Sobral, M; Melo, EAD","15778","2016","02","17",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.663944","-19.419667","-42.663944","-19.419667",NA,"Paratipo; Árvore até 4 m, com diversos troncos (cerca de dez), cada um com no máximo 50 mm de diâmetro à altura do peito; casca rugosa; flores com cálices castanhos e pétalas brancas, com odor suave.","HUFSJ008272","HUFSJ008272","grandissima",NA,NA,NA,NA,NA,NA,NA,"paratype","596","596",NA,NA
"116","2019-02-27 14:02:14-03","UFSJ","HUFSJ","8276","S","Plantae",NA,NA,"Lauraceae",NA,NA,NA,"Sobral, M; Melo, EAD","15782","2016","02","17",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.663944","-19.419667","-42.663944","-19.419667",NA,"Árvore 4 m, em interior de mata; frutos imaturos.","HUFSJ008276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"596","596",NA,NA
"117","2019-12-09 10:46:02-03","UFSJ","HUFSJ","8277","S","Plantae",NA,NA,"Myrtaceae","Eugenia","Eugenia grandissima","Sobral, Mazine & E.A.D. Melo","Sobral, M; Melo, EAD","15783","2016","02","17",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.163944","-19.419667","-42.163944","-19.419667",NA,"Isotipo; Árvore ca. 5 m, com dois ou três troncos crescendo a partir de um mesmo ponto, o maior deles com ca. 100 mm de diâmetro à altura do peito; flores com sépalas castanhas e pétalas brancas, com odor suave.","HUFSJ008277","HUFSJ008277","grandissima","Sobral, M","2016",NA,NA,NA,NA,NA,"isotype","596","596",NA,NA
"118","2019-02-27 14:02:00-03","UFSJ","HUFSJ","3225","S","Plantae",NA,NA,"Dilleniaceae","Davilla","Davilla",NA,"Sobral, M","14632","2011","12","23",NA,"Brasil","Minas Gerais","Ipatinga",NA,"-42.528333","-19.416667","-42.528333","-19.416667",NA,"Trepadeira em beira de mata; frutos imaturos.","HUFSJ003225","HUFSJ003225_v00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2019-02-27 14:03:41-03","UFSJ","HUFSJ","8275","S","Plantae",NA,NA,"Solanaceae","Solanum","Solanum asterophorum","Mart.","Sobral, M; Melo, EAD","15781","2016","02","17",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.663944","-19.419667","-42.663944","-19.419667",NA,"Arbusto 1,5 m, em interior de mata à beira de estrada; flores com corolas brancas e estames amarelos.","HUFSJ008275",NA,"asterophorum","Sobral, M","2016",NA,NA,NA,NA,NA,NA,"596","596",NA,NA
"120","2019-02-27 14:02:14-03","UFSJ","HUFSJ","8274","S","Plantae",NA,NA,"Lamiaceae","Vitex","Vitex megapotamica","(Spreng.) Moldenk","Sobral, M; Melo, EAD","15780","2016","02","17",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.663944","-19.419667","-42.663944","-19.419667",NA,"Árvore 3 m, em interior de mata; frutos imaturos.","HUFSJ008274",NA,"megapotamica","Sobral, M","2016",NA,NA,NA,NA,NA,NA,"596","596",NA,NA
"121","2020-02-28 17:22:30-03","UESB","HUESB","11943","S","Plantae","Dicotyledoneae",NA,"Salicaceae","Casearia","Casearia",NA,"Sobral, M.; Melo, E.A.D.; Melo, E.A.D.","15779","2016","02","17",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.663889","-19.419722","-42.663889","-19.419722",NA,"Árvore Ca. 10m. Flores creme.","HUESB000011943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"596","596",NA,NA
"122","2016-12-19 13:51:34-02","PERD","PERD","677","S","Plantae",NA,NA,"Proteaceae","Grevillea","Grevillea",NA,"Pereira, RM","s.n.",NA,NA,NA,NA,"Brasil","MG","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,"Árvore ca. 5m de alt., com flores. Planta exótica.",NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"123","2018-12-05 16:19:50-02","UnB","UB",NA,"S","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","Eugenia grandissima","Sobral, Mazine & E.A.D. Melo","Sobral, M; Melo, EAD","15783","2016","02","17","Southern America","Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.163889","-19.419722","-42.163889","-19.419722",NA,"Árvore ca. 5 m, com dois ou três troncos crescendo a partir de um mesmo ponto, o maior deles com ca. 100 mm diâmetro à altura do peito; flores com sépalas castanhas e pétalas brancas, com odor suave.","UB0037605","UB0037605","grandissima","Sobral, M","2016","03",NA,NA,"21",NA,"isotype","596","596",NA,NA
"124","2020-01-29 11:44:59-03","UFSCar","SORO","7868","PreserveSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","Eugenia grandissima","Sobral, Mazine & E.A.D. Melo","Sobral, M.; Melo, E.A.D.","15783","2016","02","17",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão.","-42.163889","-19.419722","42°09'50''W","19°25'11''S",NA,"Árvore ca. 5m, com dois ou três troncos crescendo a partir de um mesmo ponto, o maior deles com ca. 100 mm de diâmetro à altura do peito; flores com sépalas castanhas e pétalas brancas, com odor suave.",NA,NA,"grandissima",NA,NA,NA,NA,NA,NA,NA,"Isotypus","596","596",NA,NA
"125","2020-01-29 11:44:59-03","UFSCar","SORO","7869","PreserveSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","Eugenia grandissima","Sobral, Mazine & E.A.D. Melo","Sobral, M.; Melo, E.A.D.","15778","2016","02","17",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão.","-42.163889","-19.419722","42°09'50''W","19°25'11''S",NA,"Árvore até 4m, com diversos troncos (cerca de dez), cada um com no máximo 50 mm de diâmetro à altura do peito; casca rugosa; flores com cálices castanhos e pétalas brancas, com odor suave.",NA,NA,"grandissima",NA,NA,NA,NA,NA,NA,NA,"Isotypus","596","596",NA,NA
"126","2019-09-30 11:25:24-03","IF","SPSF","40990","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Elaeocarpaceae","Sloanea","Sloanea retusa","Uittien","R.Tsuji","2357","2007","12","01","América do Sul","Brasil","MG","Ipatinga","proximidades do municipio","-42.5367012023926","-19.4682998657227",NA,NA,NA,"COLETA: Árvore 8m, troncos múltiplos, frutos verdes.; GEOGRAFIA: Estrada Ipaneminha-Achado;",NA,NA,"retusa","R.Tsuji","2007","12","19070","auto","01","Magnoliopsida",NA,NA,NA,NA,NA
"127","2019-09-30 11:23:54-03","IF","SPSF","21073","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Asclepiadaceae","Calotropis","Calotropis procera","(Aiton) W.T.Aiton","W.Marcondes-Ferreira","1283","1996","10","09","América do Sul","Brasil","MG","Ipatinga","beira de estrada","-42.5367012023926","-19.4682998657227",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"procera","M.A.Farinaccio","2009","12","19070","auto","11","Magnoliopsida",NA,NA,NA,NA,NA
"128","2019-09-30 11:23:15-03","IF","SPSF","40984","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Chrysobalanaceae","Licania","Licania kunthiana","Hook.f.","R.Tsuji","2354","2007","12","01","América do Sul","Brasil","MG","Ipatinga","proximidades do municipio","-42.5367012023926","-19.4682998657227",NA,NA,NA,"COLETA: Árvore 10-12m altura, 40cm de DAP.&nf;Frutos imaturos verdes.; GEOGRAFIA: Estrada para Ipaneminha;",NA,NA,"kunthiana","R.Tsuji","2007","12","19070","auto","01","Magnoliopsida",NA,NA,NA,NA,NA
"129","2020-03-06 14:31:11-03","UFRGS","ICN","132492","S","Plantae","Dicotyledon",NA,"Podostemaceae","Cipoia","Cipoia inserta","C.T. Philbrick, Novelo & Irgang","Philbrick, CT; et al.","5666","2001","07","13","América do Sul","Brasil","MG","Ipatinga","ca. 5 Km E of Ipatinga Rio Doce lat. 19°28'48 1 S long. 42°28'37 5 W","-42.476944","-19.48","-42.476944","-19.48",NA,"Doação de Western Connecticut State University.","ICN00029361",NA,"inserta",NA,NA,NA,NA,NA,NA,NA,"Paratypus","239","239",NA,NA
"130","2019-11-21 10:04:16-03","IBt","SP","364532","S","Plantae",NA,NA,"Euphorbiaceae","Euphorbia","Euphorbia umbellata","(Pax) Bruyns","Diniz, MJF","s.n.","1999","08","20",NA,"Brasil","Minas Gerais","Ipatinga","Viveiro da Prefeitura.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Arbusto. Usada em forma de tintura em pacientes aidéticos.",NA,NA,"umbellata","Cordeiro, I","1999","09","19070","auto","21",NA,NA,NA,NA,NA,NA
