"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag"
"1","2019-12-16 18:44:20-03","NYBG","NYBG","00862465","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","rufescens","Eragrostis rufescens","Schrad. ex Schult.","S. de Castro Boechat","1996","07","24","G. Davidse","11492","1976","03","28","South America","Brazil","Minas Gerais","São Pedro do Suaçuí","Ca. 1km S of Sao Pedro do Suaçuí along Highway MG-3","-42.6025","-18.3658","-42.6025","-18.3658","520","520","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=944601 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00862465","NY00862465",NA,NA
"2","2019-12-16 17:46:20-03","NYBG","NYBG","930712","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","platyphylla","Fridericia platyphylla","(Cham.) L.G.Lohmann",NA,NA,NA,NA,"G. Davidse","11490","1976","03","28","South America","Brazil","Minas Gerais","São Pedro do Suaçuí","Ca. 1 km S of São Pedro do Suaçuí along Highway MG-3","-42.6025","-18.3658","-42.6025","-18.3658","520","520","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950453 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00930712","NY00930712",NA,NA
"3","2019-12-16 18:46:12-03","NYBG","NYBG","00895838","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Paspalum","mandiocanum","Paspalum mandiocanum","Trin.","G. Davidse",NA,NA,NA,"G. Davidse","11496","1976","03","28","South America","Brazil","Minas Gerais","São Pedro do Suaçuí","Ca. 1km S of Sao Pedro do Suaçuí along Highway MG-3","-42.6025","-18.3658","-42.6025","-18.3658","520","520","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967942 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00895838","NY00895838",NA,NA
"4","2019-10-09 11:14:50-03","UFBA","ALCB","21011","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong.","Cordeiro, W","2016","02","22","Pinto, GCP","375/81","1981","11","07","Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí",NA,"-42.6025009155273","-18.3658008575439",NA,NA,"700","700",NA,"Árvore, rara ca. 12 m alt., apresentando inflorescência em espiga, verde.; vegetação secundária da Floresta Estacional Semidecidual. Solo Argiloso.","ALCB054650",NA,"18958","auto"
"5","2019-07-11 08:56:03-03","ESALQ","ESA","81760","S","Plantae","Magnoliophyta",NA,"Onagraceae","Ludwigia","leptocarpa","Ludwigia leptocarpa","(Nutt.) H. Hara","Sousa, N.X.M.","2018","08",NA,"Tameirão Neto, E.","3165","2001","03","26",NA,"Brasil","Minas Gerais","São Pedro do Suaçui",NA,"-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"ESA081760","ESA081760","18958","auto"
"6","2019-02-22 15:18:32-03","ESALQ","ESA","81782","S","Plantae","Magnoliophyta",NA,"Fabaceae","Machaerium","fluminense","Machaerium fluminense",NA,"Filardi, F.","2009",NA,NA,"Tameirão Neto, E.","3172","2001","03","26",NA,"Brasil","Minas Gerais","São Pedro de Suaçui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA081782","ESA081782",NA,NA
"7","2019-07-11 08:52:33-03","ESALQ","ESA","81789","S","Plantae","Magnoliophyta",NA,"Fabaceae","Melanoxylon","brauna","Melanoxylon brauna",NA,NA,NA,NA,NA,"Tameirão Neto, E.","3170","2001","03","26",NA,"Brasil","Minas Gerais","São Pedro do Suaçuí",NA,"-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"ESA081789","ESA081789","18958","auto"
"8","2019-07-11 08:56:37-03","ESALQ","ESA","81761","S","Plantae","Magnoliophyta",NA,"Piperaceae","Piper","aduncum","Piper aduncum",NA,NA,NA,NA,NA,"Tameirão Neto, E.","3161","2001","03","26",NA,"Brasil","Minas Gerais","São Pedro do Suaçui",NA,"-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"ESA081761","ESA081761","18958","auto"
"9","2019-02-22 15:18:04-03","ESALQ","ESA","81779","S","Plantae","Magnoliophyta",NA,"Fabaceae","Dalbergia","frutescens","Dalbergia frutescens",NA,NA,NA,NA,NA,"Tameirão Neto, E.","3159","2001","03","26",NA,"Brasil","Minas Gerais","São Pedro de Suaçui",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA081779","ESA081779",NA,NA
"10","2019-02-22 15:14:30-03","ESALQ","ESA","81762","S","Plantae","Magnoliophyta",NA,"Chrysobalanaceae","Hirtella","triandra","Hirtella triandra",NA,NA,NA,NA,NA,"Tameirão Neto, E.","3158","2001","03","26",NA,"Brasil","Minas Gerais","São Pedro do Suaçui",NA,"-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"ESA081762","ESA081762","18958","auto"
"11","2019-02-15 11:40:05-02","IPA","IPA","41551","S","Plantae","Plantae",NA,"Euphorbiaceae","Sapium","glandulosum","Sapium glandulosum","(L.) Morong","Souza, S.M.A.","2012","02","15","Pinto, G.C.P.","375","1981","11","07","Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí",NA,"-42.65","-18.45","-42.65","-18.45","700","700",NA,"Árvore rara, ca. 12m de altura apresentando inflorescência em espiga de cor verde.; Vegetação secundária de Floresta Estacional Semidecidual. Solo argiloso.","IPA0041551",NA,NA,NA
"12","2019-11-21 14:36:52-03","UFJF","CESJ","39834","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott",NA,NA,NA,NA,"E. Tameirão-Neto","3170","2001","03","26","América do Sul","Brasil","Minas Gerais","São Pedro o Suaçui","UHE - Tríra, Rio Suaçui Grande",NA,NA,NA,NA,NA,NA,NA,"Floresta Semidecidual, arbóreo.","CESJ039834",NA,NA,NA
"13","2019-11-21 14:40:26-03","UFJF","CESJ","39836","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata","O.Berg",NA,NA,NA,NA,"E. Tameirão-Neto; eto","s.n.","2001","03","26","América do Sul","Brasil","Minas Gerais","São Pedro do Suaçui",NA,"-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"CESJ039836",NA,"18958","auto"
"14","2019-11-21 14:39:54-03","UFJF","CESJ","39824","PreservedSpecimen","Plantae","Angiosperma",NA,"Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizzini",NA,NA,NA,NA,"E. Tameirão-Neto","3152","2001","02","23","América do Sul","Brasil","Minas Gerais","São Pedro do Suaçui","UHE - Traíra, Rio Suaçui Grande","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,"Floresta ciliar, arbórea.","CESJ039824",NA,"18958","auto"
"15","2019-11-21 14:39:35-03","UFJF","CESJ","39580","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Miconia","holosericea","Miconia holosericea","(L.) DC.",NA,NA,NA,NA,"E. Tameirão-Neto","3153","2001","03","26","América do Sul","Brasil","Minas Gerais","São Pedro do Suaçui","UHE-Traíra, Rio Suaçui Grande. Lat.: S, Lon.: W, Alt.: m.","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,"Floresta Semidecidual, arbustivo.","CESJ039580",NA,"18958","auto"
"16","2019-12-06 14:49:04-03","MBM","MBM","270290","S","Plantae",NA,NA,"Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schoot",NA,NA,NA,NA,"Trameirão Neto, E.","3170","2001","03","26","Southern America","Brazil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grade","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"MBM270290","MBM270290","18958","auto"
"17","2019-12-06 14:39:11-03","MBM","MBM","270342","S","Plantae",NA,NA,"Chrysobalanaceae","Hirtella","triandra","Hirtella triandra","Swartz",NA,NA,NA,NA,"Trameirão Neto, E.","3158","2001","03","26","Southern America","Brazil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"MBM270342","MBM270342","18958","auto"
"18","2019-12-06 15:10:08-03","MBM","MBM","270363","S","Plantae",NA,NA,"Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata","O. Berg",NA,NA,NA,NA,"Trameirão Neto, E.","3174","2001","03","26","Southern America","Brazil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"MBM270363","MBM270363","18958","auto"
"19","2019-12-06 14:47:38-03","MBM","MBM","270285","S","Plantae",NA,NA,"Fabaceae","Dalbergia","frutescens","Dalbergia frutescens","(Vell.) Britton",NA,NA,NA,NA,"Trameirão Neto, E.","3159","2001","03","26","Southern America","Brazil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"MBM270285","MBM270285","18958","auto"
"20","2019-12-06 14:48:57-03","MBM","MBM","270289","S","Plantae",NA,NA,"Fabaceae","Machaerium","stipitatum","Machaerium stipitatum","(DC.) Vogel",NA,NA,NA,NA,"Trameirão Neto, E.","3173","2001","03","26","Southern America","Brazil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"MBM270289","MBM270289","18958","auto"
"21","2019-12-06 14:48:51-03","MBM","MBM","270288","S","Plantae",NA,NA,"Fabaceae","Machaerium","fluminense","Machaerium fluminense","Rudd","Filardi, F.L.R.","2009","12",NA,"Tamejirão Neto, E.","3172","2001","03","26","Southern America","Brazil","Minas Gerais","São Pedro do Suaçuí","Traíra, Rio Suaçuí Grande","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,"Floresta Semidecidual, escandente.","MBM270288","MBM270288","18958","auto"
"22","2019-12-06 15:07:01-03","MBM","MBM","270366","S","Plantae",NA,NA,"Moraceae","Coussapoa","microcarpa","Coussapoa microcarpa","(Schott) Rizz.",NA,NA,NA,NA,"Trameirão Neto, E.","3152","2001","02","23","Southern America","Brazil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"MBM270366","MBM270366","18958","auto"
"23","2019-10-02 15:07:09-03","UFMG","BHCB","56759","PreservedSpecimen","Plantae","Monocotyledon",NA,"Marantaceae","Stromanthe",NA,"Stromanthe","Gasper",NA,NA,NA,NA,"Vasconcelos, MF de","s.n.","2001","01","13","Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí","Fazenda Nilo","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,"Mata semidecídua secundária. Herbáceo, frutos roxos",NA,NA,"18958","auto"
"24","2019-10-02 15:07:09-03","UFMG","BHCB","56759","PreservedSpecimen","Plantae","Monocotyledon",NA,"Marantaceae","Stromanthe",NA,"Stromanthe","Gasper",NA,NA,NA,NA,"Vasconcelos, MF de","s.n.","2001","01","13","Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí","Fazenda Nilo","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,"Mata semidecídua secundária. Herbáceo, frutos roxos",NA,NA,"18958","auto"
"25","2019-10-02 15:07:01-03","UFMG","BHCB","56760","PreservedSpecimen","Plantae","Monocotyledon",NA,"Heliconiaceae","Heliconia",NA,"Heliconia",NA,NA,NA,NA,NA,"Vasconcelos, MF de","s.n.","2001","01","14","Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande.","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,"Mata ciliar. Herbáceo",NA,NA,"18958","auto"
"26","2020-01-28 18:42:58-03","UFMG","BHCB","56760","PreservedSpecimen","Plantae","Monocotyledon",NA,"Heliconiaceae","Heliconia","aemygdiana","Heliconia aemygdiana","Burle-Marx",NA,"2006","10","11","Vasconcelos, MF de","s.n.","2001","01","14","Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande.","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,"Mata ciliar. Herbáceo","BHCB047781",NA,"18958","auto"
"27","2019-10-02 15:07:01-03","UFMG","BHCB","56758","PreservedSpecimen","Plantae","Monocotyledon",NA,"Heliconiaceae","Heliconia",NA,"Heliconia",NA,NA,NA,NA,NA,"Vasconcelos, MF de","s.n.","2001","01","14","Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande.","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,"Mata ciliar. Arbustivo",NA,NA,"18958","auto"
"28","2019-10-02 15:07:01-03","UFMG","BHCB","56758","PreservedSpecimen","Plantae","Monocotyledon",NA,"Heliconiaceae","Heliconia","spathocircinata","Heliconia spathocircinata","Aristeg.",NA,"2006","10","09","Vasconcelos, MF de","s.n.","2001","01","14","Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande.","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,"Mata ciliar. Arbustivo","BHCB047784",NA,"18958","auto"
"29","2019-10-02 14:57:07-03","UFMG","BHCB","69594","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,"2011","02","22","Tameirão Neto, E","3154",NA,NA,NA,"Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande., UHE Traíra","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,"BHCB002924",NA,"18958","auto"
"30","2019-10-02 14:57:07-03","UFMG","BHCB","54383","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","calvescens","Miconia calvescens","DC.",NA,"2011","02","22","Tameirão Neto, E","3154",NA,NA,NA,"Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí","Rio Suaçuí Grande., UHE Traíra","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,NA,NA,NA,"18958","auto"
"31","2019-10-02 15:00:44-03","UFMG","BHCB","69615","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrciaria","cuspidata","Myrciaria cuspidata","O.Berg",NA,NA,NA,NA,"Tameirão Neto, E","3174","2001","03","26","Southern America","Brasil","Minas Gerais","São Pedro do Suaçuí","UHE Traíra. Rio Suaçui Grande.","-42.6025009155273","-18.3658008575439",NA,NA,NA,NA,NA,"Floresta Ciliar, arbóreo",NA,NA,"18958","auto"
