"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","previousCatalogNumber","infraspecificEpithet","typeStatus","class","relatedCatalogItem"
"42","2020-01-31 13:35:09-03","CVRD","CVRD","2047","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","Tachigali rugosa","Geovane S. Siqueira","Menandro, M.S.","134","1988","09","04","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore em capoeira.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folíolos discolores, com face ventral verde amarelada. Flores com corola verde claro e anteras amarelo ovo. Boa presença de abelhas. <ll>dwc_commonname:</ll> Carvoeiro","CVRD002047",NA,"rugosa","(Mart. ex Benth.) Zarucchi & Pipoly","2012","06","21","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"43","2020-01-31 11:25:24-03","CVRD","CVRD","1873","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia magnifica","Maria Célia Vianna","Menandro, M.S.","87","1986","05","20","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore em formação secundária.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas disc. c/ face dorsal verde escuro e ventral mais claro; inflorescências vistosas. <ll>dwc_commonname:</ll> Pau novo","CVRD001873",NA,"magnifica","Warm.","2000","06","26","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"44","2020-03-09 10:32:44-03","CVRD","CVRD","1872","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","Nectandra oppositifolia","Henk van der Werff","Menandro, M.S.","86","1986","05","10","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore em formação secundária.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Casca com cheiro caracter., folhas discolor com face dorsal verde mais escuro; face ventral mais claras. <ll>dwc_commonname:</ll> Canela pitanga","CVRD001872",NA,"oppositifolia","Nees","1990","11","13","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"45","2020-01-31 11:24:23-03","CVRD","CVRD","1878","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","Machaerium brasiliense","Carlos Victor Mendonça Filho","Menandro, M.S.","92","1986","05","30","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore em formação secundária.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas com foliólos concolor, muitos frequentes. <ll>dwc_commonname:</ll> Uruvalheira branca","CVRD001878",NA,"brasiliense","Vogel","2000","09","20","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"46","2020-01-31 13:35:18-03","CVRD","CVRD","1874","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","Vismia martiana","L.C. Marinho","Menandro, M.S.","88","1986","05","28","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore em formação secundária.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas discolor com face ventraldourada, pilosa e dorsal verde. <ll>dwc_commonname:</ll> Aguirre","CVRD001874",NA,"martiana","Mart.","2014","02","19","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"47","2020-03-09 10:32:37-03","CVRD","CVRD","1877","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda puberula",NA,"Menandro, M.S.","91","1986","05","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore em formação secundária.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Caroba","CVRD001877",NA,"puberula","Cham.",NA,NA,NA,"17198","auto",NA,NA,NA,"Magnoliopsida",NA
"48","2020-01-31 11:23:53-03","CVRD","CVRD","1876","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Marcelo Monge","Menandro, M.S.","90","1986","05","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore em formação secundária.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas discolor, com face dorsal verde e dorsal prateada, cheiro do carne, Ótima/cercas. <ll>dwc_commonname:</ll> Candeia","CVRD001876",NA,"erythropappus","(DC.) MacLeish","2011","08","17","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"49","2020-01-31 11:25:36-03","CVRD","CVRD","1879","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","Cupania rugosa","Pedro Acevedo Rodriguez","Menandro, M.S.","93","1986","05","31","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore em formação secundária.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas disc. com face ventral verde mais clara, com nervuras marrom claras, flores com corola branca e anteres vinho. <ll>dwc_commonname:</ll> Pau magro","CVRD001879",NA,"rugosa","Radlk.","1990","10","20","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"50","2020-01-31 13:35:09-03","CVRD","CVRD","2844","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Tachigali","Tachigali rugosa","Geovane S. Siqueira","Menandro, M.S.","223","1990","07","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore nº 239 da parcela A1 do Ensaio de Manejo Florestal.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas discolores com face superior verde escuro e inf. amarelo. <ll>dwc_commonname:</ll> Carvoeiro","CVRD002844",NA,"rugosa","(Mart. ex Benth.) Zarucchi & Pipoly","2012","06","21","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"51","2020-01-31 11:24:24-03","CVRD","CVRD","2048","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platypodium","Platypodium elegans","Haroldo C. de Lima","Menandro, M.S.","135","1988","09","04","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore no pasto. Serra Azul de Minas - MG.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folíolos discolores, com face dorsal brilhante. <ll>dwc_commonname:</ll> Uruvalheira","CVRD002048",NA,"elegans","Vog.","1990","06","30","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"52","2020-01-31 13:35:07-03","CVRD","CVRD","2046","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","Pseudopiptadenia contorta","Geovane S. Siqueira","Menandro, M.S.","133","1988","09","04","América do Sul","BRASIL","MG","Serra Azul de Minas","Árvore perto do campo de futebol.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Angico rosa","CVRD002046",NA,"contorta","(DC.) G.P.Lewis & M.P.M.de Lima","2013","05","09","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"53","2020-03-09 10:32:40-03","CVRD","CVRD","2845","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Boraginaceae","Cordia","Cordia fusca","M.N.S. Stapf","Menandro, M.S.","224","1990","07","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Folhas pilosas, com face superior mais escuro e mais áspera; cálice persistente de cor verde.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Manemenem","CVRD002845",NA,"fusca","M. Stapf","2012","09","27","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"54","2020-03-09 10:32:40-03","CVRD","CVRD","2852","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Boraginaceae","Cordia","Cordia fusca","M.N.S. Stapf","Menandro, M.S.","231","1990","07","23","América do Sul","BRASIL","MG","Serra Azul de Minas","Folhas pilosas, discolores com face superior mais escura e mais áspera, flores com cálice verde e anteras brancas. Parcela A2-F5 do Ensaio Man. flor.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Manemenem","CVRD002852",NA,"fusca","M. Stapf","2012","09","27","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"55","2020-01-31 11:23:52-03","CVRD","CVRD","1875","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Ageratum","Ageratum fastigiatum","Aristônio M. Teles","Menandro, M.S.","89","1986","05","28","América do Sul","BRASIL","MG","Serra Azul de Minas","No caminho para a Fazenda Tesoureiro. Arbusto em pasto com grande frequencia em terreno periodicamente algável.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Enxota","CVRD001875",NA,"fastigiatum","(Gardner) R.M.King & H.Rob.","2015","08","12","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"56","2020-01-31 11:24:05-03","CVRD","CVRD","2843","PreservedSpecimen","Plantae","Magnoliophyta","Dilleniales","Dilleniaceae","Davilla","Davilla angustifolia","Gerardo C. Aymard","Menandro, M.S.","222","1990","07","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Parcela A1 de Ensaio de Manejo Florestal.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Frutos maduros marrom <ll>dwc_commonname:</ll> Gurumbumba vermelha","CVRD002843",NA,"angustifolia","A. St.-Hil.","2003","04","23","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"57","2020-03-09 10:32:23-03","CVRD","CVRD","2847","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Didymopanax","Didymopanax vinosus","Pedro Fiaschi","Menandro, M.S.","226","1990","07","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Parcela A1 do Ensaio de Manejo Florestal.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas discolores, com face superior verde escura e inferior amarelo avermelhados. <ll>dwc_commonname:</ll> Mamoneira","CVRD002847",NA,"vinosus","(Cham. & Schltdl.) Marchal","2020","02","18","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"58","2020-01-31 11:25:13-03","CVRD","CVRD","2853","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","Miconia ibaguensis","Baumgratz, J.F.A.","Menandro, M.S.","232","1990","07","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Parcela A2 - C5 do ensaio de manejo florestal. Regeneração de mata secundária manejada.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas concolores pilosas com ramos também pilosos, flores com cálice verde, corola, estames, anteras e estilete brancos. <ll>dwc_commonname:</ll> Quaresma gurita","CVRD002853",NA,"ibaguensis","Cogn.","2000","01","21","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"59","2020-01-31 13:35:20-03","CVRD","CVRD","2851","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","Casearia sp.",NA,"Menandro, M.S.","230","1990","07","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Parcela A4-F5 do Ensaio de Manejo Florestal.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas discolores com face inferior mais claras. <ll>dwc_commonname:</ll> Calombo","CVRD002851",NA,"sp.",NA,NA,NA,NA,"17198","auto",NA,NA,NA,"Magnoliopsida",NA
"60","2020-03-09 10:32:42-03","CVRD","CVRD","2860","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptidendron","Hyptidendron asperrimum","Raymond M. Harley","Menandro, M.S.","241","1990","07","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Parcela B2 - A1.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas quase concolores, com face inferior pouco mais clara. <ll>dwc_commonname:</ll> Alfavaca estranha","CVRD002860",NA,"asperrimum","(Spreng.) Harley","1995","12","23","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"61","2020-01-31 11:25:40-03","CVRD","CVRD","2854","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","Solanum granulosoleprosum","João Renato Stehmann","Menandro, M.S.","233","1990","07","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Próximo a casa sede da fazenda.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Folhas discolores, com face ventral mais clara. <ll>dwc_commonname:</ll> Capoeira branca","CVRD002854",NA,"granulosoleprosum","Dunal","2006","08","24","17198","auto",NA,NA,NA,"Magnoliopsida",NA
"62","2020-01-31 11:23:45-03","CVRD","CVRD","2848","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Parodiolyra","Parodiolyra micrantha","Ana Paula Santos Gonçalves","Menandro, M.S.","227","1990","07","29","América do Sul","BRASIL","MG","Serra Azul de Minas","Vizinha à parcela A1 de Ensaio de Manejo Florestal.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Taquara orelha de burro","CVRD002848",NA,"micrantha","(Kunth) Davidse & Zuloaga","2002","10","14","17198","auto",NA,NA,NA,"Liliopsida",NA
"63","2019-12-17 10:44:54-03","UFPE","UFP","37707","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","Scleria sp.",NA,"M.S.Menandro","221","1990","07","29",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Fazenda Gurita","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Pastp. Terrestre, herbáceo. Flor verde amarelado, folhas finamente serradas, muito agressivas. Altura total 1,5m; Pastp. Terrestre, herbáceo. Flor verde amarelado, folhas finamente serradas, muito agressivas. Altura total 1,5m","UFP037707",NA,"sp.",NA,NA,NA,NA,"17198","auto",NA,NA,NA,NA,NA
"64","2019-12-17 10:44:54-03","UFPE","UFP","37707","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","Scleria sp.",NA,"M.S.Menadro","221","1990","07","29",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Fazenda Gurita","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Pasto. Terrestre, herbáceo. Flor verde amarelado. Folhas finamente serradas, muito agressivas. Altura total 1,5m; Pasto. Terrestre, herbáceo. Flor verde amarelado. Folhas finamente serradas, muito agressivas. Altura total 1,5m","UFP037707",NA,"sp.",NA,NA,NA,NA,"17198","auto",NA,NA,NA,NA,NA
"65","2019-07-24 16:11:51-03","SMITHSONIAN","US","3370895","PreservedSpecimen","Plantae",NA,"Rosales","Connaraceae","Bernardinia","Bernardinia fluminensis villosa",NA,"G. Hatschbach, M. M. Hatschbach & E. Barbosa","67416","1997","11","22","South America - Neotropics","Brazil","Minas Gerais","Serra Azul de Minas","Rodovia Serra Azul de Minas para Rio Vermelho, BR-259","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"<a href=http://n2t.net/ark:/65665/35a8638b9-c3cf-459d-8250-d7983b77c6ea target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"fluminensis","(Schellenb.) Forero",NA,NA,NA,"17198","auto",NA,"villosa",NA,"Dicotyledonae",NA
"66","2019-07-24 15:54:47-03","SMITHSONIAN","US","3724821","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Dasyphyllum","Dasyphyllum sprengelianum","Moura, L. O.","N. Roque & A. Quaresma","3743","2012","09","26","South America - Neotropics","Brazil","Minas Gerais","Serra Azul de Minas","Planalto Diamantina, Parque Estadual do Pico do Itambe. Apos a Cachoeira do Rio Vermelho.","-43.3028","-18.3906","-43.3028","-18.3906","1182","1182",NA,"<a href=http://n2t.net/ark:/65665/310ec3442-6fee-4b40-9aba-d95c50c17c26 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"sprengelianum","(Gardner) Cabrera",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA
"67","2020-01-21 16:15:10-03","USP","SPF","199243","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Handroanthus","Handroanthus ochraceus","Lohmann, LG","Souza, V","371","1992","08","26",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Fazenda Oliveira TesoureiroPasto.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Arboreo, 9m alt. Botão marrom. Flor amarela.","SPF00199243",NA,"ochraceus","(Cham.) Mattos","2009",NA,NA,"17198","auto",NA,NA,NA,NA,NA
"68","2019-10-07 09:11:43-03","UEFS","HUEFS","193123","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Mikania","Mikania ramosissima",NA,"Quaresma, A.S.","456","2012","09","26",NA,"Brasil","Minas Gerais","Serra Azul de Minas","PEPI. Trilha para a Cachoeira do Rio Vermelho. Caminho para o poço da cachoeira.","-43.303611","-18.387778","43W18'13''","18S23'16''","1158","1158",NA,"Afloramento rochoso.","HUEFS0193123",NA,"ramosissima","Gardner",NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA
"69","2019-10-07 09:12:18-03","UEFS","HUEFS","84061","PreservedSpecimen","Plantae","Angiospermae","Boraginales","Boraginaceae","Cordia","Cordia fusca","M.N.S.Stapf","Menandro, M.S.","224","1990","07","29",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Fazenda Gurita","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Capoeira.","HUEFS0084061","HUEFS0084061","fusca","M.Stapf","2012","07",NA,"17198","auto",NA,NA,NA,"Asteranae",NA
"70","2020-03-19 10:52:22-03","UEFS","HUEFS","224349","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Tachigali","Tachigali rugosa",NA,"Menandro, M.S.","134","1988","09","04",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Fazenda Gurita.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Capoeira.","HUEFS0224349",NA,"rugosa","(Mart. ex Benth.) Zarucchi & Pipoly",NA,NA,NA,"17198","auto",NA,NA,NA,"Rosanae",NA
"71","2020-03-19 10:52:22-03","UEFS","HUEFS","224350","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae","Tachigali","Tachigali rugosa",NA,"Menandro, M.S.","223","1990","07","29",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Fazenda Gurita. Árvore n°239 da parcela A1 do Ensaio de Manejo Florestal.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Mata de Tabuleiro.","HUEFS0224350",NA,"rugosa","(Mart. ex Benth.) Zarucchi & Pipoly",NA,NA,NA,"17198","auto",NA,NA,NA,"Rosanae",NA
"72","2019-10-07 09:22:11-03","UEFS","HUEFS","50325","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Olyra","Olyra micrantha","G.Davidse","Menandro, M.S.","227","1990","07","29",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Fazenda Gurita. Vizinha à parcela A1 de Ensaio de Manejo Florestal.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Mata de tabuleiro","HUEFS0050325","HUEFS0050325","micrantha","Kunth","1994","09",NA,"17198","auto",NA,NA,NA,"Lilianae",NA
"73","2018-12-03 11:17:11-02","CEPLAC","CEPEC","42290","S","Plantae",NA,NA,"Fabaceae","Machaerium","Machaerium acutifolium","T. S. dos Santos","M. S. Menandro","92","1986","05","30",NA,"Brasil","Minas Gerais","serra azul de minas","Faz. Gurita.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Uruvalheira",NA,NA,"acutifolium",NA,NA,NA,NA,"17198","auto",NA,NA,NA,NA,"29/10/1987"
"74","2018-12-03 11:11:39-02","CEPLAC","CEPEC","42264","S","Plantae",NA,NA,"Clusiaceae","Vismia","Vismia ferruginea","T. S. dos Santos","M. S. Menandro","88","1986","05","28",NA,"Brasil","Minas Gerais","serra azul de minas","Faz. Gurita.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Ruao",NA,NA,"ferruginea",NA,NA,NA,NA,"17198","auto",NA,NA,NA,NA,"29/10/1987"
"75","2018-12-03 11:06:24-02","CEPLAC","CEPEC","42257","S","Plantae",NA,NA,"Asteraceae","Platypodanthera","Platypodanthera melissifolia","T. S. dos Santos","M. S. Menandro","89","1986","05","28",NA,"Brasil","Minas Gerais","serra azul de minas","Faz. Gurita, caminho para Faz. Tesoureiro.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Enxota",NA,NA,"melissifolia",NA,NA,NA,NA,"17198","auto",NA,NA,NA,NA,"29/10/1987"
"76","2018-12-03 11:21:51-02","CEPLAC","CEPEC","83781","S","Plantae",NA,NA,"Malpighiaceae","Niedenzuella","Niedenzuella acutifolia","A. M. Amorim","G. Hatschbach","67409","1997","11","22",NA,"Brasil","Minas Gerais","serra azul de minas","Rod. Serra Azul de Minas/Rio Vermelho, BR-259. Orla da mata.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,NA,NA,NA,"acutifolia",NA,NA,NA,NA,"17198","auto",NA,NA,NA,NA,"30/12/2012"
"77","2019-02-27 14:03:15-03","UFSJ","HUFSJ","3873","S","Plantae",NA,NA,"Myrtaceae","Myrcia","Myrcia splendens","Sobral, M","Menandro, MS","229","1990","07","29",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Fazenda Gurita.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Porte arbóreo, flor verde claro, altura total 8m.","HUFSJ003873",NA,"splendens","(Sw.) DC.","2013","01","29","17198","auto",NA,NA,NA,NA,NA
"78","2019-02-27 14:03:15-03","UFSJ","HUFSJ","3878","S","Plantae",NA,NA,"Myrtaceae","Myrcia","Myrcia splendens","Sobral, M","Souza, VD","372","1992","08","26",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Fazenda Oliveira Tesoureiro.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Porte arbóreo, botão verde claro, flor branca, fuste cilindrica, superficie da casca áspera, altura total 4m, altura da fuste 2m, diâmetro da copa 3m.","HUFSJ003878",NA,"splendens","(Sw.) DC.","2013","01","29","17198","auto",NA,NA,NA,NA,NA
"79","2020-03-02 13:40:57-03","UFSC","FLOR","59871","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Schefflera","Schefflera vinosa","Fiaschi, P.","Menandro, M.S.","226","1990","07","29",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Parcela A1 do Ensaio de Manejo Florestal.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Arbóreo, botão cor ferrugíneo, folhas discolores, com face superior verde escura e inferior amarelo avermelhados. Ecossistema: Capoeira. Forma de vida: terrestre. Doação do Herbário CVRD 2847.","FLOR0059871","FLOR0059871","vinosa","(Cham. & Schltdl.) Frodin & Fiaschi","2015","02","23","17198","auto",NA,NA,NA,NA,NA
"80","2020-03-02 13:45:31-03","UFSC","FLOR","36983","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Psidium","Psidium rufum",NA,"Hatschbach, G.; Hatschbach, M. & Barbosa, E.","67410","1997","11","22",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Rodovia Serra Azul de Minas para Rio Vermelho, Rod. BR-259.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"arvoreta, flor alva, 3m altura","FLOR0036983",NA,"rufum","(O.Berg) Proença",NA,NA,NA,"17198","auto",NA,NA,NA,NA,NA
"81","2020-03-02 13:45:24-03","UFSC","FLOR","29123","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrcia","Myrcia fallax","Kawasaki, M.L.","Hatschbach, G.; Hatschbach, M. & Barbosa, E.","67405","1997","11","22",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Rod. Serra Azul de Minas para Rio Vermelho, BR-259.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"arvoreta, flor preto, 4m altura","FLOR0029123",NA,"fallax","DC.",NA,NA,NA,"17198","auto",NA,NA,NA,NA,NA
"82","2020-03-06 14:31:47-03","UFRGS","ICN","086012","S","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","Cupania cf. vernalis","Sobral, M","Menandro, MS","93","1986","05","31","América do Sul","Brasil","MG","Serra Azul de Minas","Fazenda Gurita","-43.1699981689453","-18.3619003295898",NA,NA,"900","900",NA,"Nº de acervo original: 52","ICN00002263","ICN00002263","cf. vernalis","Cambess.","1986","12",NA,"17198","auto",NA,NA,NA,NA,NA
"83","2020-03-06 14:22:42-03","UFRGS","ICN","086007","S","Plantae","Dicotyledon",NA,"Asteraceae","Ageratum","Ageratum fastigiatum","Fernandes, AC","Menandro, MS","89","1986","05","28","América do Sul","Brasil","MG","Serra Azul de Minas","Fazenda Gurita Caminho Fazenda Tesoureiro","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Reserva Florestal da C.V.R.D.",NA,NA,"fastigiatum","(Gardner) R.M. King & H.Rob.","2013","07",NA,"17198","auto",NA,NA,NA,NA,NA
"84","2019-11-21 10:12:04-03","IBt","SP","328160","S","Plantae",NA,NA,"Myrtaceae","Myrcia","Myrcia fallax","Kawasaki, ML","Hatschbach, G; et al.","67405","1997","11","22",NA,"Brasil","Minas Gerais","Serra Azul de Minas","Rod. Serra Azul de Minas para Rio Vermelho, BR 259.","-43.1699981689453","-18.3619003295898",NA,NA,NA,NA,NA,"Arvoreta 4m alt, frutos pretos. Floresta.",NA,NA,"fallax","(Rich.) DC.","1998",NA,NA,"17198","auto",NA,NA,NA,NA,NA
