"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus"
"1","2019-12-16 18:35:43-03","NYBG","NYBG","00957102","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","aduncum","Piper aduncum","L.","M. Kuhlmann","s.n.","1934","12","01","South America","Brazil","Minas Gerais","Teixeiras","Teixeiras.","-42.8567","-20.6511","-42.8567","-20.6511","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086259 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957102","NY00957102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:27:44-03","NYBG","NYBG","605570","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Platypodium","elegans","Platypodium elegans elegans","Vogel","H. S. Irwin","2226","1958","12","07","South America","Brazil","Minas Gerais","Teixeiras","4 km. N. of Teixeiras on road to Ponte Nova.","-42.8567","-20.6511","-42.8567","-20.6511","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=707685 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00605570","NY00605570","elegans","H. C. de Lima","1986",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:28:19-03","NYBG","NYBG","2609113","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","tenuifolia","Senegalia tenuifolia","(L.) Britton & Rose","G. M. Magalhaes","s.n.","1961","12","12","South America","Brazil","Minas Gerais","Teixeiras","estrada de Vicosa para Teixeira","-42.8567008972168","-20.6511001586914",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916464 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02609113","NY02609113",NA,"D. S. Seigler","2013","10355","auto",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 17:28:19-03","NYBG","NYBG","2609114","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","tenuifolia","Senegalia tenuifolia","(L.) Britton & Rose","G. M. Magalhaes","s.n.","1961","12","12","South America","Brazil","Minas Gerais","Teixeiras","estrada de Vicosa para Teixeira","-42.8567008972168","-20.6511001586914",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916465 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02609114","NY02609114",NA,"D. S. Seigler","2013","10355","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-04 10:45:24-03","UFRJ","RFA","20137","Preservedecimen","Plantae",NA,NA,"Dilleniaceae","Davilla","rugosa","Davilla rugosa","Poir.","Fontella; V. Vidal, R. Vidal; R. Fortuna; P. Coons","1021","1978","05","21",NA,"Brasil","Minas Gerais","Teixeiras","Estrada de Teixeiras à Pedra do Anta à 12 km da ponte sobre o Ribeirão São Silvestre e à 4 km da cidade de Teixeiras, á beira da estrada","-42.8567008972168","-20.6511001586914",NA,NA,NA,"Escandente heliófilo de flores amarelas; botões verdes ou avermelhados","RFA40012",NA,NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA,NA,NA
"6","2018-12-21 14:46:33-02","UNESP-IBILCE","SJRP-PTERIDOPHYTA","05379","S","Plantae","Pteridophyta",NA,"Hymenophyllaceae","Trichomanes","polypodioides","Trichomanes polypodioides","Raddi","Máxio F. Morel","160","1990","02","25","América do Sul","Brasil","Minas Gerais","Teixeira","km 45 ponte nova-viçosa",NA,NA,NA,NA,NA,"GEOGRAFIA: barranco sombreado;",NA,NA,NA,"V.A. de O. Dittrich","2003",NA,NA,"Filicopsida","03","01",NA,NA,NA,NA
"7","2019-07-11 08:57:06-03","ESALQ","ESA","70107","S","Plantae","Magnoliophyta",NA,"Poaceae","Panicum","pinicilatum","Panicum pinicilatum","Nees","Krieger, L.","CESJ 11980","1973","01","01",NA,"Brasil","Minas Gerais","Pedro Teixeira",NA,"-43.7456016540527","-21.7063999176025",NA,NA,NA,NA,"ESA070107","ESA070107",NA,NA,NA,"11303","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-02-13 14:06:24-03","MN","R","1443","S","Plantae",NA,NA,"Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Sampaio, A.J.","968","1909","10","05",NA,"Brasil","Minas Gerais","Teixeira Soares","Fazenda de Santa Alda",NA,NA,NA,NA,NA,NA,"R010043485,R010043486,R010043487","R010043485 R010043486 R010043487",NA,"Mickel, J.T.","1961",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-13 14:06:24-03","MN","R","1444","S","Plantae",NA,NA,"Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Sampaio, A.J.","648","1907","11","20",NA,"Brasil","Minas Gerais","Teixeira Soares","Linha de Mariana",NA,NA,NA,NA,NA,"Herv. de Sant'Alda","R010043490,R010040601,R010040602","R010040601 R010040602 R010043490",NA,"Mickel, J.T.","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-13 14:06:24-03","MN","R","217363","S","Plantae",NA,NA,"Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Sampaio, A.J.","748","1908","04",NA,NA,"Brasil","Minas Gerais","Teixeira Soares",NA,NA,NA,NA,NA,NA,"Herv. de Sant'Alda","R010040590,R010040600","R010040590 R010040600",NA,"Mickel, J.T.","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-13 14:09:23-03","MN","R","67507","S","Plantae",NA,NA,"Fabaceae","Bauhinia","forficata","Bauhinia forficata","Link","Saldanha da Gama, J.","717","1908","04",NA,NA,"Brasil","Minas Gerais","Teixeiras Soares",NA,NA,NA,NA,NA,NA,"Hervário de Sant' Alda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-13 14:13:34-03","MN","R","39442","S","Plantae",NA,NA,"Urticaceae","Boehmeria",NA,"Boehmeria",NA,"Sampaio, A.J.","650","1907","12",NA,NA,"Brasil","Minas Gerais","Teixeira Soares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-13 14:09:31-03","MN","R","64760","S","Plantae",NA,NA,"Fabaceae","Canavalia","parviflora","Canavalia parviflora","Benth.","Sampaio, A.J.","722","1908","04","25",NA,"Brasil","Minas Gerais","Teixeiras Soares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sauer, J.D.","1962",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-03-04 09:17:58-03","MN","R","236132","S","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","deflexa","Ctenitis deflexa","(Kaulf.) Copel.","Sampaio, A.J.","747","1908","04",NA,NA,"Brasil","Minas Gerais","Teixeira Soares",NA,NA,NA,NA,NA,NA,NA,"R010046432",NA,NA,"Salino, A.","2001",NA,NA,NA,"11",NA,NA,NA,NA,NA
"15","2020-02-13 14:09:46-03","MN","R","64705","S","Plantae",NA,NA,"Fabaceae","Dahlstedtia","pinnata","Dahlstedtia pinnata","(Benth.) Malme","Sampaio, A. J.","848",NA,NA,NA,NA,"Brasil","Minas Gerais","Teixeira Soares","Fazendo Santa Alda",NA,NA,NA,NA,NA,NA,"R010044803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-03-04 09:17:58-03","MN","R","1233","S","Plantae",NA,NA,"Dryopteridaceae","Dryopteris","deflexa","Dryopteris deflexa","(Kaulf.) C.Chr.","Sampaio, A.J.","7 47","1908","04","30",NA,"Brasil","Minas Gerais","Teixeira Soares",NA,NA,NA,NA,NA,NA,NA,"R010045762",NA,NA,"Sampaio, A.J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-13 14:06:14-03","MN","R","4441","S","Plantae",NA,NA,"Alismataceae","Echinodorus","grandiflorus","Echinodorus grandiflorus","(Cham. & Schhdl.) Micheli","Sampaio, A.J.","791","1908","07",NA,NA,"Brasil","Minas Gerais","Teixeira Soares","Fazenda de Santa Alda",NA,NA,NA,NA,NA,NA,"R010057200,R010057198,R010057199","R010057198 R010057199 R010057200",NA,"Rego, S.A.","1988",NA,NA,NA,"02","18",NA,NA,NA,NA
"18","2020-02-13 14:10:00-03","MN","R","6751","S","Plantae",NA,NA,"Fabaceae","Enterolobium","tamboril","Enterolobium tamboril","Mart.","Sampaio, A.J.","879","1908","10",NA,NA,"Brasil","Minas Gerais","Teixeira Soares","Fazenda de S. Alda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mesquita, A.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-02-13 14:07:34-03","MN","R","48611","S","Plantae",NA,NA,"Asteraceae","Heterocondylus","alatus","Heterocondylus alatus","(Vell.) R.M. King & H. Rob.","Sampaio, A.J.","581","1907","06",NA,NA,"Brasil","Minas Gerais","Teixeira Soares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Esteves, R.L.","1996",NA,NA,NA,"04","20",NA,NA,NA,NA
"20","2020-02-13 14:10:13-03","MN","R","5835","S","Plantae",NA,NA,"Fabaceae","Inga","capitata","Inga capitata","Desv.","Sampaio, A.J.","809","1908",NA,NA,NA,"Brasil","Minas Gerais","Teixeira Soares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Garcia, F.C.P.","1999",NA,NA,NA,"02",NA,NA,NA,NA,NA
"21","2020-02-13 14:10:49-03","MN","R","131748","S","Plantae",NA,NA,"Fabaceae","Platypodium","elegans","Platypodium elegans","Vogel","Irwin, H.S.","2226","1958","12","07",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-03-10 08:30:22-03","UFV","VIC","5268","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Bredemeyera","laurifolia","Bredemeyera laurifolia","Kl.","Fontella; et al.","1020","1978","05","21",NA,"Brasil","Minas Gerais","Teixeira","Estrada de Teixeiras em direção a Pedra do Anta",NA,NA,NA,NA,NA,"Á beira de estrada, solo argiloso vermelho,escandente heliófilo.chegando a 3 m, flores alvas ou amarelo pálidas,frutos de cor verde.","VIC005268","VIC005268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-03-10 08:30:22-03","UFV","VIC","8968","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Diclidanthera","laurifolia","Diclidanthera laurifolia","Mart","Zanuncio, T.V.","s.n.","1984","09","28",NA,"Brasil","Minas Gerais","Teixeira",NA,NA,NA,NA,NA,NA,"Arbusto de pétalas brancas , sépalas verdes, exposta ao sol, solo seco, de ca 2 m de altura.","VIC008968","VIC008968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-03-10 08:29:34-03","UFV","VIC","1637","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Maclura",NA,"Maclura",NA,"Kulhmann, J.G.","s.n.","1934","11","11",NA,"Brasil","Minas Gerais","Teixeira","Bom Jardim",NA,NA,NA,NA,NA,NA,"VIC001637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-03-10 08:30:05-03","UFV","VIC","26325","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora",NA,"Passiflora","L.",NA,"s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Pedro Teixeira",NA,"-43.7456016540527","-21.7063999176025",NA,NA,NA,NA,"VIC026325","VIC026325",NA,NA,NA,"11303","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-03-10 08:30:07-03","UFV","VIC","23311","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","suberosa","Passiflora suberosa litoralis","L.","Valente, G.E.","425","1999","04","24",NA,"Brasil","Minas Gerais","Teixeira","BR que liga Teixeiras a Ponte nova KM 616",NA,NA,NA,NA,NA,"Trepadeira de flor verde claro com estaminoides formando um disco arroxeadao em torno do androginóforo,que tambem é verde claro, fruto pequenino verde.","VIC023311","VIC023311","litoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-03-10 08:30:56-03","UFV","VIC","001788","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Urera","caracasana","Urera caracasana","(Jacq.) Gaudich. ex Griseb","Kulhmann","s.n.","1934","11","11",NA,"Brasil","Minas Gerais","Teixeira","Bom Jardim",NA,NA,NA,NA,NA,NA,"VIC001788","VIC001788",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-03-10 08:26:39-03","UFV","VIC","6616","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","lividus","Amaranthus lividus","L.","Coons, M.P.","429","1977","09","04",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,"Ruderal. Erva com flores verdes. Menos comum em Teixeiras do que em Viçosa.","VIC006616","VIC006616",NA,"Coons, M.P.","1978","10355","auto",NA,"12","10",NA,NA,NA,NA
"29","2020-03-10 08:26:32-03","UFV","VIC","18707F","PreservedSpecimen","Plantae",NA,NA,NA,"Catacauma","hammarii","Catacauma hammarii","(Henn.) Theiss. & Syd.","Muller, A.S.","214","1929","10","06",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,"Machaerium nigrum Vog.","VIC18707F",NA,NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA,NA,NA
"30","2020-03-10 08:28:13-03","UFV","VIC","18709F","PreservedSpecimen","Plantae",NA,NA,"Cryptobasidiaceae","Drepanoconis","larviformis","Drepanoconis larviformis","Speg.","Muller, A.S.","306","1929","10","17",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,NA,"VIC18709F",NA,NA,"Balcer; Rodge",NA,"10355","auto",NA,NA,NA,NA,NA,NA,NA
"31","2020-03-10 08:26:35-03","UFV","VIC","7745","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Pachystachys","lutea","Pachystachys lutea","Nees","Pereira, J.J.","s.n.","1982","11","01",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,"Trabalho prático de BVE 230.","VIC007745","VIC007745",NA,"Vieira, M.F.","1983","10355","auto",NA,"02","25",NA,NA,NA,NA
"32","2020-03-10 08:26:46-03","UFV","VIC","24592","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","mickelii","Anemia mickelii","Schwartsburd, P.B. & Rabelo, L.S.","Valente, G.E.","455","2000","04","11",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,"erva crescendo em barranco sombreado úmido","VIC024592","VIC024592",NA,"Valente, G.E.","2000","10355","auto",NA,"04","11",NA,NA,NA,NA
"33","2020-03-10 08:26:39-03","UFV","VIC","6097","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","cruentus","Amaranthus cruentus","L.","Coons, M.P.","424","1977","09","04",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,NA,"VIC006097","VIC006097",NA,"Coons, M.P.","1977","10355","auto",NA,"09","04",NA,NA,NA,NA
"34","2020-03-10 08:28:13-03","UFV","VIC","5416","PreservedSpecimen","Plantae",NA,NA,"Cruciferae","Brassica",NA,"Brassica",NA,"Coons, M.P.","435","1977","09","04",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,"Ruderal, ao lado da rua. Erva de menos de 1,0 metro de altura. Flores amarelas. Não comum.","VIC005416","VIC005416",NA,"Coons, M.P.","1977","10355","auto",NA,"09","04",NA,NA,NA,NA
"35","2020-03-10 08:30:05-03","UFV","VIC","5284","PreservedSpecimen","Plantae",NA,NA,"Passifloraceae","Passiflora","alata","Passiflora alata","Curti","Fontella; et al.","s.n.","1978","05","22",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,"LOcal degradado a beira de estrada,solo argiloso vermelho,com capim gordura,escandente heliofila,frutos de cor verde.","VIC005284","VIC005284",NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA,NA,NA
"36","2020-03-10 08:30:07-03","UFV","VIC","18705F","PreservedSpecimen","Plantae",NA,NA,"Phyllachoraceae","Phyllachora","paraguaya","Phyllachora paraguaya","Speg.","A.S.Muller","395","1929","10","06",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,"Luhea divaricata L.","VIC18705F",NA,NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA,NA,NA
"37","2020-03-10 08:26:39-03","UFV","VIC","5495","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","flavescens","Alternanthera flavescens","HBK","Coons, M.P.","434","1977","09","04",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,"Ruderal na cidade. Flores brancas.","VIC005495","VIC005495",NA,"Coons, M.P.","1980","10355","auto",NA,NA,NA,NA,NA,NA,NA
"38","2020-03-10 08:29:50-03","UFV","VIC","5408","PreservedSpecimen","Plantae",NA,NA,"Oxalidaceae","Oxalis","debilis","Oxalis debilis","Kunth","Coons, M.P.","77436","1977","09","04",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,"Erva de flor róseo lilás, sempre meio fechada, planta ruderal, ao lado de uma casa ocasional na área.","VIC005408","VIC005408",NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA,NA,NA
"39","2020-03-10 08:26:39-03","UFV","VIC","6615","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","lividus","Amaranthus lividus","L.","Coons, M.P.","428","1977","09","04",NA,"Brasil","Minas Gerais","Teixeiras","Ao lado da casa.","-42.8567008972168","-20.6511001586914",NA,NA,NA,"Caule avermelhado. Flores verdes.","VIC006615","VIC006615",NA,"Coons, M.P.","1978","10355","auto",NA,"12","10",NA,NA,NA,NA
"40","2020-03-10 08:26:42-03","UFV","VIC","6614","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Amaranthus","viridis","Amaranthus viridis","L.","Coons, M.P.","431","1977","09","04",NA,"Brasil","Minas Gerais","Teixeiras","Ao lado de casa.","-42.8567008972168","-20.6511001586914",NA,NA,NA,"Erva meio decumbente. Flores verdes. Encontrada apenas neste lugar na cidade.","VIC006614","VIC006614",NA,"Coons, M.P.","1978","10355","auto",NA,"12","10",NA,NA,NA,NA
"41","2020-03-10 08:26:39-03","UFV","VIC","5592","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","tenella","Alternanthera tenella","Colla","Coons, M.P.","433","1977","09","04",NA,"Brasil","Minas Gerais","Teixeiras","Ao lado de córrego d'água.","-42.8567008972168","-20.6511001586914",NA,NA,NA,"Erva meio decumbente. Flores brancas. Planta ruderal. Comum.","VIC005592","VIC005592",NA,"Coons, M.P.","1980","10355","auto",NA,NA,NA,NA,NA,NA,NA
